Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Soil_Type
2998,102,12,384,158,6026,239,225,114,4121,29
3175,15,7,366,92,4816,214,226,149,1584,29
2952,8,7,488,125,4953,212,227,152,5192,20
2622,95,12,484,39,1329,239,222,112,4086,29
2955,288,21,247,128,5224,156,233,215,4968,24
2837,66,9,201,23,3655,229,221,124,6341,20
3077,129,3,618,43,6296,225,237,147,3261,29
2755,320,4,30,-1,2890,209,236,165,5468,12
3047,28,11,600,13,6414,216,215,134,3540,29
2880,86,12,30,3,4369,237,221,113,5906,30
3221,292,3,424,49,4401,212,238,165,1710,29
3064,29,24,150,46,5051,204,182,104,2148,29
2827,332,15,42,9,3599,185,221,174,6067,29
3050,180,4,277,-3,5782,221,242,156,2721,29
2721,164,4,67,-2,1747,224,241,152,4191,12
3182,116,7,579,10,4425,233,233,133,1854,29
2724,132,11,60,-2,2720,238,234,124,4875,12
2515,90,9,313,39,511,233,227,125,3451,18
3017,46,22,212,52,5118,221,188,92,2352,29
3077,256,4,618,210,6230,210,242,170,3734,29
2929,338,8,190,39,4393,202,228,165,6106,12
2893,319,20,150,43,5825,164,217,192,4667,24
3231,45,4,648,59,4173,221,231,147,1921,29
2560,89,10,218,34,731,235,224,120,3505,29
3162,43,15,484,144,4657,221,205,115,2188,29
2982,188,14,120,-2,5501,220,250,160,2750,29
2731,66,5,0,0,2826,225,230,141,4873,20
3172,50,11,759,0,4287,225,215,123,2037,20
2916,138,21,127,49,6349,247,227,98,4206,29
2704,45,10,323,22,1323,223,219,130,3734,12
3024,312,18,474,177,5785,169,224,194,4961,24
2763,7,12,85,17,2850,205,216,148,4788,24
3244,56,16,618,76,3865,229,204,104,2225,40
2955,9,10,85,10,5167,209,221,149,2819,16
3201,10,13,984,180,4136,205,213,143,2289,23
2972,36,25,30,0,5113,209,176,90,2816,29
2985,167,13,458,66,5571,230,244,144,3519,29
2539,23,17,90,15,488,207,201,125,3115,29
3001,260,8,720,134,5790,200,245,183,3903,29
2962,211,13,255,43,5365,209,252,177,3337,29
2727,45,4,124,21,2285,221,231,147,4245,12
3004,167,17,603,137,5798,232,244,137,4031,29
2886,22,8,285,31,3849,215,222,144,5557,29
3024,344,8,600,105,5201,203,227,163,5764,12
3034,187,14,335,148,6084,221,249,158,4921,30
2903,279,13,190,26,4179,184,241,197,5904,29
2926,245,4,30,7,5180,212,243,169,3331,23
2942,200,16,180,23,5276,212,252,170,3470,29
3244,326,5,750,53,3730,207,234,166,2460,23
3237,27,14,997,36,4002,213,210,130,2506,23
2616,359,24,42,15,977,176,187,142,3186,29
2913,16,11,457,58,3974,211,217,142,5568,29
2813,48,7,201,35,3018,223,225,137,4729,24
2530,149,1,319,51,234,221,238,154,2726,29
3260,45,7,503,69,3558,222,225,138,2531,40
3047,90,3,870,128,5484,224,234,146,5635,12
2893,77,13,85,7,6012,236,215,107,4682,29
2965,38,24,247,49,4883,212,181,92,3315,29
3037,230,15,570,151,5985,196,252,191,5238,29
2756,70,16,120,35,2501,235,208,100,4210,12
2939,325,6,510,62,4078,206,234,167,5584,20
3198,126,9,418,23,4200,235,234,130,2858,19
3195,90,7,362,20,4243,231,229,132,2880,23
2975,222,6,360,89,5719,213,245,169,4519,29
3011,85,5,842,85,5389,228,231,137,5975,12
3221,79,16,618,20,3968,239,210,96,2868,23
3004,135,7,811,78,5383,231,237,138,6017,29
2572,49,20,384,53,391,224,192,94,2509,29
3260,128,11,743,46,3824,238,233,124,2854,23
3168,25,4,30,0,4426,218,231,150,3180,20
2878,349,12,67,0,3489,198,220,161,4924,29
3198,9,8,301,23,4099,211,224,150,3076,19
2975,260,8,391,66,6071,200,245,183,5262,29
3178,38,10,0,0,4286,220,217,131,3248,29
2995,176,10,690,86,6068,226,246,152,5533,29
2913,144,8,210,20,5478,232,239,139,4733,30
2982,175,9,424,56,5267,225,245,153,6500,12
2945,209,12,362,36,5877,211,251,173,5354,29
2942,0,3,0,0,4830,215,233,156,6062,20
2945,288,5,0,0,4801,205,239,173,6034,20
2959,288,8,120,14,4683,199,240,180,5920,12
2796,114,13,60,8,2599,242,226,111,3934,12
2785,315,2,60,-2,2486,214,237,161,3829,23
2784,325,17,153,33,1798,177,220,182,3198,30
2789,320,15,182,50,1771,181,225,183,3174,30
2922,162,19,240,22,5076,235,241,129,4536,30
2978,73,10,323,49,5160,232,221,121,6368,29
2521,45,10,42,2,408,223,218,129,2066,20
2985,72,7,497,13,5372,228,227,133,6482,29
3057,39,19,626,144,4435,217,196,107,3955,29
3201,331,5,0,0,4002,208,234,164,3460,20
2548,355,14,60,7,551,197,215,155,2058,20
2962,89,9,42,3,4891,234,225,122,6046,12
2808,15,13,201,20,2431,208,213,141,3651,12
2749,87,12,516,43,1499,238,220,111,2797,12
3155,328,14,849,-19,4184,185,222,177,3871,29
2968,108,5,306,49,4113,229,234,138,5265,12
2808,356,7,153,3,2592,209,227,157,3757,23
2794,106,4,210,37,1888,227,234,142,3079,12
3080,24,17,659,167,4377,208,201,125,4176,29
2936,52,16,180,27,4656,227,203,105,4456,23
2913,261,10,313,10,5706,197,245,187,5517,29
2978,257,6,85,13,4795,205,244,177,5905,12
2574,312,14,134,32,636,183,229,187,1924,30
3142,59,21,730,-32,4155,231,192,85,4070,29
2804,15,10,212,47,1917,211,219,144,3031,12
2595,9,14,42,19,799,204,212,144,2010,30
2929,232,8,366,33,5835,208,247,177,5776,29
3001,246,9,764,101,5961,201,247,184,6227,29
2813,94,7,371,56,1800,231,230,132,2872,30
2988,342,6,192,26,4805,208,231,162,5836,12
2914,141,9,277,18,3471,234,238,135,4430,12
2668,41,17,283,68,1276,219,200,110,2240,30
3185,129,12,481,10,3899,240,233,121,4273,29
2913,216,9,268,20,5715,211,249,173,5983,16
3168,72,5,418,-6,3855,226,230,138,4394,23
2955,30,9,30,3,4478,218,220,137,5370,20
2932,100,7,30,-6,4280,232,231,131,5166,19
3234,0,11,658,26,3589,204,220,153,4109,23
3201,53,7,488,26,3667,224,225,135,4255,29
2903,236,5,212,10,5656,211,244,171,6046,16
2874,352,2,400,19,2869,216,236,157,3653,29
2903,254,6,212,3,5689,206,244,176,6195,16
2800,45,12,0,0,2244,223,214,124,2958,20
3257,336,9,693,52,3443,199,227,167,4246,23
3188,278,5,210,13,3634,206,241,173,4526,29
2952,62,8,192,30,4487,227,223,130,5251,29
2932,237,16,342,36,5797,189,252,198,6409,29
3050,281,4,630,85,5540,209,240,169,6162,12
2791,41,17,458,-18,1740,220,201,111,2294,12
3172,162,3,180,7,3632,222,240,153,4624,29
3116,69,14,297,-6,3870,234,212,107,4802,29
2895,51,10,162,0,3326,225,219,127,4002,12
3182,122,6,134,7,3510,230,235,138,4585,29
3024,81,9,218,49,4152,233,224,123,5114,29
2962,251,9,480,66,5863,201,246,183,6356,29
2945,348,13,255,32,3768,194,217,161,4425,12
3149,188,7,134,17,3718,221,245,159,4831,29
2833,150,15,242,23,1953,238,238,126,2407,30
2851,49,13,268,46,2538,225,211,118,3037,29
2933,111,8,300,20,3644,234,231,129,4221,12
2810,110,6,421,0,1871,230,234,138,2178,12
3188,30,16,85,13,3340,213,203,121,4753,29
2955,37,5,426,42,3905,220,229,145,4475,12
3001,276,9,752,103,5893,197,242,184,6012,29
3008,281,10,780,110,5864,194,241,187,5998,29
2942,28,5,391,29,3707,218,230,148,4228,12
2921,331,9,395,8,3516,200,230,169,4024,12
2985,315,5,361,20,5023,206,235,169,5570,12
2978,289,14,570,42,4480,179,238,198,5007,12
2889,51,20,362,66,2689,225,193,94,3049,29
2814,103,3,210,4,2145,225,235,145,2316,12
2938,127,9,408,107,2896,236,234,128,3239,12
2828,95,11,127,15,2467,238,224,116,2714,29
3146,95,12,240,-28,3287,239,222,112,5052,30
2977,94,8,466,12,4283,232,229,129,4676,12
3034,45,2,680,46,5544,220,234,151,5490,12
3083,61,19,192,-9,3320,232,197,90,5380,30
3044,23,5,210,-25,3481,217,228,148,5476,20
2982,90,8,242,-35,3695,232,228,129,5609,20
2901,176,15,256,49,3181,226,247,149,3360,30
2995,66,6,247,13,4770,227,227,135,5126,29
2528,151,6,108,4,598,228,240,145,390,23
3188,112,8,60,3,2880,235,231,128,5166,29
2939,243,24,400,41,5619,164,250,217,5753,29
3008,215,11,696,112,5880,209,251,176,5600,29
3021,238,9,815,125,5855,204,248,181,5543,29
2937,80,11,330,15,4094,234,221,118,4354,12
2781,13,3,351,25,2148,216,233,154,1707,29
2945,252,18,421,47,5615,176,249,209,5686,29
2857,143,12,85,8,3111,238,237,127,3161,30
3021,53,7,258,-12,3544,224,224,134,5720,29
2919,141,3,192,3,3992,225,238,149,6047,29
2800,185,9,170,22,2382,222,246,158,2001,12
2773,151,18,350,119,1680,240,237,119,983,30
2759,144,17,300,105,1590,242,234,115,895,30
2714,117,20,242,93,1470,250,217,85,779,30
2671,109,26,175,55,1350,253,200,58,664,30
2775,148,19,335,101,1770,242,234,113,1061,30
2746,149,18,268,92,1620,240,236,119,912,30
2717,108,16,201,79,1500,246,220,98,794,30
2751,136,14,277,77,1680,241,234,119,967,30
2739,131,14,242,75,1620,242,232,116,908,30
2733,133,16,228,79,1590,244,231,111,878,30
2716,117,15,175,62,1500,245,225,105,789,30
3073,123,11,0,0,3060,239,231,121,5654,29
3060,167,18,95,16,3251,232,244,136,5755,29
2899,120,8,162,19,3944,234,234,132,4034,12
2861,107,8,30,0,3434,234,231,129,3406,23
2853,351,3,0,0,3342,214,234,158,3287,23
2656,110,23,85,35,1350,252,208,72,636,30
3050,167,16,67,6,3229,231,244,140,5783,29
3004,141,13,124,3,3500,239,236,124,5934,29
2952,58,10,201,16,3736,228,218,123,6078,29
3034,68,12,362,43,5550,232,216,114,5100,29
2685,128,23,95,31,1440,251,218,81,722,30
3057,101,4,0,0,3069,226,234,144,5740,20
3060,342,5,495,69,5700,209,232,161,5139,12
2945,49,14,0,0,4671,225,208,114,4737,23
2704,123,18,124,40,1530,247,224,99,797,30
2676,129,24,67,22,1440,251,217,79,713,30
2975,136,15,124,7,3543,243,232,114,6039,29
3067,21,4,518,76,5739,217,231,151,5125,12
2700,115,19,67,26,1533,249,218,90,779,30
2673,108,22,42,9,1473,251,208,72,721,30
2654,71,11,0,0,1413,233,218,115,664,30
2664,50,12,0,0,1445,225,214,122,684,30
2858,125,8,268,7,3288,233,235,134,3034,12
2854,163,9,285,5,3246,229,243,146,2974,12
3047,56,11,95,29,3182,227,218,123,5994,29
2873,351,6,201,11,3459,210,230,159,3242,12
2680,23,12,0,0,1511,213,214,136,730,29
2676,9,14,30,2,1481,204,212,144,700,29
2678,9,15,42,7,1421,202,209,142,641,29
2839,120,9,190,23,3055,236,233,128,2612,12
2792,86,7,228,4,2862,230,229,132,2282,12
2995,6,14,201,13,5167,202,213,146,4670,29
2702,90,1,0,0,1727,221,236,151,932,20
3004,31,6,180,13,5222,219,228,145,4624,29
2919,117,6,150,0,3903,231,234,136,6349,20
2945,258,14,376,45,5535,186,247,199,5134,29
2978,75,5,295,50,4847,227,230,137,4455,29
2756,30,4,150,2,2571,218,231,149,1770,12
2717,155,4,0,0,2037,224,240,150,1230,20
2928,315,1,150,23,4194,215,237,160,4050,29
2770,95,3,258,7,2813,224,235,147,2011,12
2656,77,23,283,-23,1320,242,190,66,518,30
2907,45,7,350,13,4041,222,225,138,3783,29
2781,65,13,42,6,3162,232,214,112,2465,20
2715,203,5,124,-1,1920,217,245,164,1120,12
2968,338,11,216,23,3426,196,225,167,6508,20
2739,130,8,134,26,2160,234,236,133,1366,12
2922,129,3,218,18,4283,225,237,147,4027,29
2792,101,6,108,29,3180,230,232,135,2442,12
3041,243,14,513,50,5911,192,250,195,4636,29
2888,32,8,470,72,3700,219,224,141,3164,12
2613,132,27,170,55,1260,251,215,73,558,30
2978,135,4,108,13,3247,226,238,146,6576,29
2952,353,12,0,0,4928,200,219,157,4105,20
2773,81,14,108,24,3019,238,215,106,2338,12
2742,174,9,268,23,2455,226,245,152,1725,12
2677,167,16,85,9,1680,231,244,140,953,12
2739,142,6,228,20,2465,229,239,143,1761,12
3001,267,14,641,101,5749,182,245,201,4570,29
2584,343,13,150,39,812,192,219,165,480,29
2902,104,6,558,89,3643,230,233,136,3107,12
2910,198,5,234,51,4063,218,244,161,3556,30
3011,108,10,212,36,2912,237,229,122,6632,29
2998,68,8,124,23,2987,228,225,130,6557,29
3011,263,12,674,111,5753,189,246,196,4386,29
3008,24,12,309,36,5353,213,214,135,3950,20
3004,18,10,192,29,5232,212,219,143,3899,29
3031,81,6,513,27,5542,228,230,136,4002,29
2939,288,5,379,39,5448,207,239,171,4506,29
2949,277,12,437,49,5506,186,242,195,4471,29
3028,323,9,242,53,5079,196,230,174,3771,29
2900,315,1,90,0,5152,216,237,159,4667,16
2932,96,7,247,17,3861,232,229,129,5585,29
2909,72,5,324,5,4554,226,230,138,5006,19
2909,0,3,350,5,4582,215,233,156,4985,19
2867,143,12,437,114,3363,237,237,129,2963,12
3047,356,10,618,75,5664,204,222,156,3811,29
2617,15,14,30,0,1652,207,211,139,1383,29
2646,9,33,60,9,1771,165,156,112,1518,29
3027,217,17,700,127,5844,201,254,185,4011,29
2963,121,13,175,0,4557,241,229,116,3360,29
2919,117,15,175,33,4375,244,225,106,3311,29
2660,3,9,297,60,1307,207,222,152,1249,29
2955,235,21,451,55,5590,180,253,205,4074,29
2953,120,13,134,3,4518,241,229,115,3297,29
2887,124,17,95,13,4252,246,226,102,3273,29
3014,338,8,150,23,2888,202,228,165,6169,29
2995,62,11,484,17,3209,230,216,118,5849,29
2965,142,6,0,0,4778,229,239,143,3283,29
2739,311,10,270,80,1765,193,233,180,1742,29
2916,243,3,335,16,5442,213,242,166,4030,23
3047,135,3,932,141,5900,224,238,149,3591,29
2751,270,2,0,0,3068,214,239,163,2912,23
2690,318,7,514,78,967,202,234,171,1310,12
2599,89,10,30,-1,558,235,224,120,1233,20
2919,264,7,408,19,5490,202,244,181,3945,29
2975,253,12,616,59,5780,193,248,193,3739,29
2617,83,9,127,16,573,233,224,122,1290,12
2574,92,7,0,0,408,232,229,129,1318,20
2939,19,11,60,7,3980,212,217,141,5016,20
2765,41,5,0,0,3263,221,229,144,3107,23
2784,348,13,170,37,2758,194,217,161,2687,29
2850,108,22,42,14,3976,251,210,76,2971,30
2919,236,7,350,16,5470,208,246,176,3853,23
2995,233,14,638,89,5932,196,252,191,3487,29
2817,32,15,390,74,2561,216,207,124,2613,29
2932,18,2,485,13,4326,217,234,154,4597,23
2826,11,7,366,73,2648,213,225,150,2704,29
2795,47,10,451,95,2260,224,219,129,2389,29
2760,62,5,547,66,1842,224,230,142,2079,12
2700,76,9,433,-15,1124,231,224,126,1691,12
3001,238,9,592,92,5966,204,248,181,3379,29
2699,165,3,390,2,908,222,240,154,1670,12
2730,79,6,270,14,1353,228,229,135,1883,12
2998,252,12,553,89,5940,193,248,193,3271,29
2854,28,8,446,99,2791,217,223,141,2912,12
2633,94,19,258,82,454,246,208,84,1651,12
2811,84,10,433,38,2250,234,224,121,2506,12
2926,208,15,300,20,5633,208,253,176,3446,23
2839,71,14,488,66,2370,235,213,107,2616,12
2689,179,11,210,2,932,225,247,153,1851,30
3015,66,19,335,22,3777,235,199,88,4847,29
2995,62,14,362,5,3836,231,211,109,4795,29
2851,107,11,458,78,2402,238,227,119,2698,30
2596,33,14,335,66,150,216,209,125,1321,29
2939,45,8,306,26,4602,223,222,134,4080,29
2805,44,17,170,32,1902,222,200,108,2436,12
2932,54,16,283,119,3578,228,203,104,2418,29
2868,29,20,95,33,3369,209,192,112,2468,23
2946,352,14,170,35,4298,195,216,158,2352,30
3021,25,12,564,21,3847,213,213,134,4662,29
3018,49,14,631,22,3936,225,208,114,4569,29
2863,193,6,390,62,2869,220,245,161,2577,12
2978,156,6,524,61,5532,228,241,147,2688,30
2968,120,9,365,51,5386,236,232,127,2557,30
2734,93,5,277,16,1645,228,232,138,2445,12
2728,83,11,277,19,1587,236,220,114,2416,12
2922,270,5,120,9,4843,207,241,173,3582,23
2962,346,6,518,45,5549,209,231,160,2514,30
2624,183,27,60,22,1195,215,245,145,2374,30
2917,107,5,210,33,3413,229,234,139,2125,12
2644,345,3,85,-4,509,214,235,159,1426,12
2645,45,4,134,-3,467,221,230,145,1368,12
3024,24,16,297,26,4116,210,204,127,4161,29
2813,127,14,60,12,2845,243,230,112,2313,29
2617,344,19,30,6,1307,178,206,165,2506,29
2952,281,5,212,33,4824,206,240,173,2022,29
2968,286,17,283,41,4735,171,237,206,1992,29
2992,228,6,458,79,4439,211,246,172,1919,12
2976,124,9,277,39,4173,235,234,129,1891,12
2796,131,9,0,0,2794,235,235,132,2323,29
2955,311,9,421,49,5660,196,234,177,2428,30
2917,175,13,30,0,3707,227,247,149,1907,12
2821,72,20,90,20,2889,238,198,82,2247,29
2794,179,20,124,29,2629,224,247,147,2408,30
2661,266,4,67,4,631,210,241,169,1499,23
2976,315,19,319,58,4779,165,220,194,1917,29
2807,115,21,85,11,2876,251,214,81,2215,29
2792,109,19,67,8,2856,249,214,85,2208,29
2775,121,16,30,-3,2799,246,225,103,2244,29
3113,14,13,376,23,3684,207,213,141,4380,29
2919,341,9,467,3,4830,202,228,164,3187,23
2952,41,14,335,13,4604,221,208,119,3375,23
2764,91,15,42,7,2789,242,216,100,2216,29
2744,122,19,30,1,2742,248,222,94,2232,29
2954,156,10,301,79,4308,232,242,141,1657,12
2662,138,23,30,8,2173,248,225,93,2588,16
2988,69,14,228,3,4298,234,211,106,3596,20
2965,72,14,361,6,4509,235,212,105,3383,29
2663,118,21,30,11,2214,250,217,84,2546,16
2942,71,16,499,3,4656,236,208,99,3211,23
2718,90,18,30,-2,2719,244,209,87,2207,29
2695,168,19,30,-1,2608,231,244,135,2291,30
2669,31,3,342,17,696,219,233,151,1559,12
2753,103,20,108,24,2813,249,210,80,2123,29
2721,101,18,42,13,2730,247,213,88,2185,29
2686,142,10,0,0,2592,235,238,132,2293,30
2676,119,5,0,0,2483,228,235,141,2352,16
2610,135,6,272,13,323,230,237,141,1256,12
2706,137,18,60,-1,2714,245,230,106,2185,29
2709,323,24,127,59,2125,153,208,191,2563,29
2676,66,3,391,24,883,222,233,147,1745,12
3201,70,8,331,59,2908,229,225,129,5058,29
2688,120,7,30,3,2644,232,235,136,2227,16
2684,347,6,0,0,2630,208,230,160,2215,16
2714,329,25,127,45,2207,153,202,184,2479,29
2766,38,5,85,-3,1813,220,228,144,2800,29
2690,35,6,0,0,2751,219,227,144,2123,16
2795,126,24,153,23,3259,252,215,76,1740,29
2740,332,27,175,70,2239,146,194,181,2432,29
3009,238,7,446,42,5071,207,246,177,1631,30
2964,84,19,124,32,4607,243,204,83,1434,29
2783,332,30,255,114,2180,138,188,181,2467,29
2775,40,8,134,0,1940,221,223,137,2673,29
2781,39,3,60,11,1871,220,232,149,2739,29
3149,120,13,150,33,3438,242,229,114,4269,30
3044,345,5,342,20,4119,209,231,160,3538,29
2786,52,11,182,10,2005,226,216,123,2609,29
2780,350,9,95,4,1936,203,224,160,2674,23
2872,79,9,0,0,4336,232,224,124,1323,23
2796,27,2,240,20,2071,218,234,153,2546,29
2790,54,10,180,14,2024,226,218,125,2588,23
2769,107,11,95,12,1663,238,227,119,2869,29
2719,48,7,361,33,1290,223,224,136,2177,12
2763,357,23,201,66,2728,177,192,147,2032,29
3011,73,9,659,7,4341,231,223,124,3215,29
2955,65,13,481,42,4590,232,214,112,2967,29
3149,135,7,67,7,3282,231,237,138,4310,29
2808,112,9,0,0,4034,235,231,127,1230,23
2811,352,13,228,35,2145,198,218,158,2464,29
2892,48,23,150,51,4337,222,183,85,1140,29
2922,293,14,283,6,5205,179,236,197,2218,29
2828,352,23,424,143,2556,174,194,154,2086,29
2598,327,7,30,0,582,204,233,168,1482,20
2810,42,14,300,64,1666,222,209,120,2620,29
2684,141,17,30,-1,1107,243,233,113,2047,30
2613,39,9,42,4,685,221,219,133,1626,20
2647,234,2,323,18,726,216,241,162,1299,29
2667,95,9,541,13,691,234,227,124,1293,29
2942,305,8,379,13,5232,198,236,177,2110,29
2822,308,5,234,66,1758,205,237,171,2765,29
2661,60,11,30,-6,1045,229,216,119,1996,29
2687,338,10,437,34,792,198,226,167,1350,29
3103,85,8,524,-5,3805,232,227,128,3589,29
3034,50,22,531,16,4252,224,186,86,3131,29
2802,358,6,433,50,1718,210,228,156,2630,29
2890,20,16,430,182,2954,208,205,131,1723,29
2686,29,23,95,36,1082,205,184,106,2036,29
2727,52,17,0,0,1332,226,202,103,2278,23
2720,36,17,30,0,1308,217,201,114,2255,23
